"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 78",960000,1479321.12108907,1298994.17738288,1278037.56621958,1265870.12523332,1224650.30254383,1151045.18604874,1096069.22891646,1018479.26259064,959097.779948152,948063.734712162,664203.467719339,451380.494227019,304553.716854831,183669.893056807,67120.8129748781,7879.67590647335,0,0,0,0
"Sample 79",960000,987421.944690939,938258.613930562,886638.889113678,862244.88730876,798519.059648071,734061.192051206,687716.680082277,649519.675322971,605199.619567271,551720.052904511,491746.57228868,416831.575827551,367804.338804497,318732.005497626,256739.246635999,205892.877915853,154719.00927065,107463.883283604,59012.1055659726,23309.1671800311
"Sample 80",960000,1071807.51517505,1083758.17511409,1113070.79098974,871734.125444613,718467.371000761,549376.217568069,375876.228549444,254644.095067563,146603.070535155,57611.7496299056,12601.7985006894,0,0,0,0,0,0,0,0,0
"Sample 81",960000,1277654.72022564,1220916.75544285,925045.49944507,620036.035586895,471068.486404425,279276.780484491,156461.9040241,64563.2713242464,11762.1500435608,0,0,0,0,0,0,0,0,0,0,0
"Sample 82",960000,1039552.87317813,1013244.3333758,1019399.16180733,987262.190991179,1015074.12425776,1003839.42044173,962497.60751452,940027.806442209,908694.861483641,896176.062684141,864662.023388499,851914.560885498,801744.300124801,785816.616380444,768692.761296798,754222.152223024,715711.692992107,699006.624317609,648985.425137186,653610.927912885
"Sample 83",960000,1179749.34735707,905164.341576695,671819.465856522,523370.766738135,321215.98008729,195885.24372764,93992.9733879654,22134.0899880043,0,0,0,0,0,0,0,0,0,0,0,0
"Sample 84",960000,1172181.82913546,1094522.49725547,1032773.64086332,919268.40435205,867461.41064254,803102.654198938,720283.451051844,677296.574092425,601585.444307526,534317.437743883,462915.560925502,388584.25677806,318731.481869753,251962.369506408,182159.499685726,83996.5406629635,20956.655961629,5059.58806224613,1529.81525559675,377.896450536767
"Sample 85",960000,1296174.31642727,1122651.52703272,1119169.05624569,1040318.32684498,971722.302666743,711763.619860042,428319.142380139,253545.591266027,132140.51129067,31926.2742526465,0,0,0,0,0,0,0,0,0,0
"Sample 86",960000,1169732.20159925,1194411.44839081,1229906.62376295,1249707.69310145,1252711.24924076,1276885.62106045,1282813.08908489,1256698.91586672,1245214.03906978,1238985.54295414,1282022.35551445,1262798.72157111,1269253.80961525,1277580.07057271,1265485.42962349,1241287.40208907,1222672.37162323,1040178.3775051,830048.616270669,656260.319566418
"Sample 87",960000,1024766.12365779,1004015.59057547,1000811.76878115,1019575.72259201,1018415.84999843,1040797.00972104,1002514.93470096,975376.069103837,966291.475643713,965633.133678022,954733.454479317,936534.176443409,908058.118321221,887478.826659294,841457.772490221,833943.603297684,806969.087729169,802349.604521152,764529.92042917,729897.273992287
"Sample 88",960000,1078042.50874106,1085531.36519122,1076454.94746734,1078322.22414301,1078723.09664746,1058952.05575669,1051947.79936111,1039748.10767154,1068641.22566524,1091428.58211007,1103545.27826951,893814.174706399,635904.755689633,461431.924166695,352810.720569308,208136.113316737,96612.7114444903,36302.3093446225,11526.7943076409,3294.78321845464
"Sample 89",960000,1140027.54478419,845567.427453606,549293.303449039,365435.398462084,204665.934822751,96992.8106046434,22142.6350070731,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample 90",960000,1115114.80720002,1129586.97708946,1139757.3454675,1122147.95549896,1094164.1865722,1150017.20357534,1139231.29034781,1138207.52312978,1132922.51605151,1140484.44405255,1158215.63908654,1158219.60534784,1155698.55966401,1198061.58649243,1210947.37886748,1164189.98398664,1149208.23542489,1137167.91831068,1147826.97260813,1155050.85377997
"Sample 91",960000,1217050.0905997,1148233.70357789,1131292.62967692,1096437.55656853,1078754.19001039,1038945.13863673,985589.366496171,953847.59479713,901805.910600979,894691.444927256,822322.723831057,811961.249076348,768450.304414641,710950.090962218,649956.294880342,598044.725827967,528562.526142973,476643.208050299,442920.379506308,396950.918988767
"Sample 92",960000,1037989.35562645,1027165.26885527,1000415.16535203,1011997.32927155,1010423.94099683,986959.825408077,965884.915277919,796653.590486531,551587.092376903,366226.146244121,249711.408406639,161589.005147997,71683.2436842308,14573.2734545936,0,0,0,0,0,0
"Sample 93",960000,1336463.89909266,1324761.37286282,1307200.71056279,1307873.8125985,947481.943192476,705958.818190565,468940.914882581,273309.451838351,143408.607838122,46646.6776264511,5202.22845026928,0,0,0,0,0,0,0,0,0
"Sample 94",960000,1189919.29162776,1155672.54827637,1206181.44058571,1229316.53331096,1027674.29969638,823351.240076765,680620.924557539,446856.269202457,316563.723033336,204871.368085739,114265.363800948,45562.5573957806,7633.52937894775,0,0,0,0,0,0,0
"Sample 95",960000,973293.827730987,910325.715368923,899789.047650054,577500.873409638,341253.503054322,212801.144442637,109942.393256369,30852.070950393,3453.98173262039,0,0,0,0,0,0,0,0,0,0,0
"Sample 96",960000,1171109.13414419,1100026.24983426,1116936.6798593,1133386.29474428,1116790.7255546,1077880.17491978,1047682.30871845,765426.543153798,581052.085169812,429483.987651072,285905.290674674,180413.524412442,82037.6318195428,16628.4807496929,0,0,0,0,0,0
"Sample 97",960000,1371840.10011383,1312294.60164602,1391523.21766041,1398041.67945483,1516927.46241427,1611441.13515708,1682018.49355184,1420567.14477618,1087735.82619585,884064.499345097,680566.342435447,480796.806996514,366664.088479781,239681.111208885,169795.978957431,89083.6446062644,23902.400110974,2144.46922321929,197.831012226142,20.0782872415709
"Sample 98",960000,914532.070077741,892371.01839406,860289.690422689,795093.936615533,741489.05527326,660745.625666782,613883.196719652,563592.470349009,503542.281456503,465149.460022098,410920.107723067,362135.947189047,302387.69191258,251930.499282772,202219.74452951,152526.189088807,97321.1513831236,54083.0105178568,16309.051713983,4454.01470092758
"Sample 99",960000,1491255.38827862,1470081.10217366,1496823.18419273,1515742.40627171,1532369.1305958,1519229.45138429,1579568.79998593,1621543.66423954,1675065.14440195,1705207.49432872,1769728.38107048,1795821.96773441,1862495.17570687,2004686.6030706,2147244.72259063,2284978.08560536,2347573.89011389,2512211.9684653,2588568.74802891,2693761.09671153
"Sample 100",960000,1051692.70861854,1021232.1612635,1038781.49437788,1039024.19104535,1047240.37926862,1041521.36264781,1088075.15331805,1099123.1739387,1143012.45311807,1142060.80566471,1189374.7885333,1203179.69037645,1217005.93081078,1224823.08065017,1230113.83072429,1265255.9239629,1296928.90789985,1305794.94285395,1329556.45975187,1350222.21094916
