"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 11",960000,1317713.81340607,1270735.56458564,1341250.15521022,1327048.43560734,1379154.02349376,1363368.65957861,1411919.01295472,1409817.17660888,1450596.8071788,1526680.65344865,1558578.61047577,1603135.97990303,1637358.15728697,1675438.58001893,1691569.9347975,1744256.05629969,1769584.45640972,1806357.16543684,1830712.14550892,1848574.87522358
"Sample 12",960000,1098642.05270027,1071333.4604347,1072185.50053831,1099304.32043799,1095525.51187939,1122356.68037969,1106486.00709527,1095777.82605098,1075800.3748265,1089993.85463839,1103250.20775009,1089907.10586442,1072649.34012113,1073132.60966708,1099230.80665541,1099420.17343004,1095030.5103315,1081594.79583478,1066721.58061322,1103864.7748008
"Sample 13",960000,1388655.55120081,1289304.66926307,1330346.57244825,1314155.50484202,1312118.57236068,1320563.48746806,1394112.6203583,1432332.35447531,1423607.38910818,1395377.10097384,1477151.67633707,1462153.58876512,1465179.94737019,1503575.14052124,1479148.82735247,1525660.30152665,1512528.47898577,1550915.2672167,1586804.62991109,1641289.34850438
"Sample 14",960000,1246427.4508667,1218387.35327101,1285063.14459474,1332866.52929449,1375095.44982512,1466914.0808934,1510893.20786615,1553170.74771465,1603436.72941167,1617123.09974409,1711285.09375911,1760112.5355585,1820504.87867832,1890765.03976119,1918700.89722755,2037597.98689392,2087471.0578597,2135501.80071662,2166443.16733242,2209521.65725597
"Sample 15",960000,1250481.60583145,1345755.83495439,1489725.33423598,1624733.82070391,1749627.37226584,1897400.99752598,2025460.18464973,2259820.50958706,2397687.62819211,2621337.04389813,2900876.57583306,3153946.59429696,3499304.05837729,3841534.13305958,4234904.58272259,4443682.93315404,4630469.87865984,5007019.21161246,5628515.38142327,6061471.3879373
"Sample 16",960000,970106.988056169,977648.780387851,982511.022157211,1020548.24321735,1045854.29123777,1039472.03342368,1043240.6093351,1078456.05321647,1064409.98662598,1079584.95150028,1096760.98220788,1118752.57128701,1136593.62868855,1178407.41818224,1213616.53754715,1262490.1655381,1294294.06045452,1271295.33242319,1272969.35519736,1285573.47684782
"Sample 17",960000,983758.284356392,1010077.47033195,1034539.50507869,1071543.60009059,1063092.77942517,1062792.36850585,1102222.36867574,1083667.57550311,1108903.96657343,1136799.1624357,1131861.25598348,1150942.75543825,1213980.50959916,1210536.05918139,1209149.85666391,1221418.43411836,1254908.27798213,1274141.56954943,1274357.5082038,1310621.75612667
"Sample 18",960000,1275510.52406962,1320012.87662361,1468397.05397772,1594716.37529711,1684016.02620525,1925087.15603502,2083288.07880733,2296286.95204222,2550668.24951639,2818274.4862216,3080035.65265915,3327046.55276163,3540454.31274431,3779667.44394466,4239602.24165249,4696205.11029158,5108663.10026967,5471840.28830484,6149607.24869467,6698176.59743813
"Sample 19",960000,929635.171531085,925457.413137191,889839.124317919,879236.881808083,892053.484454521,877692.699228845,860623.276211833,849888.883668275,865612.63921121,871208.246993289,874089.66695596,890811.538096712,893534.255057371,861403.866479168,868689.097695528,873509.956934874,843445.959132261,858189.906045047,845022.934577151,808642.670704457
"Sample 20",960000,1282046.01717838,1350990.58875267,1353569.27283643,1428315.99126895,1484371.45249771,1520963.60424697,1566502.97628086,1640730.54731066,1678580.76883179,1721297.12803019,1718981.54379108,1772054.98558653,1782668.63053953,1798318.98450944,1910213.48945473,1951298.96780476,1955062.28963186,2073003.64944816,2077740.71906196,2152609.40443982
