Sim No.,lambda,JWS,AWS,NSS,JSS,ASS,PFS,JFS,AFS,JP,AP,JB,AB
27,1.009,0.921114496489045,0.937456629844542,0.942980614548704,0.848360035229387,0.985468395654247,0.49584350034213,0.508452131342465,0.99236024055801,0.780611229249079,0.882871501482539,0.584780584256325,0.877430830812326
28,1,0.838846025649531,0.971621354847902,0.689098519068794,0.908243250869023,0.927249759024627,0.502806348072229,0.87709983304311,0.953525101197356,0.866929396545859,0.945235638451418,0.559916967133391,0.973102959421504
29,1.002,0.931932183971302,0.993847743321703,0.911128142975241,0.839150079603492,0.939433847818664,0.385601609122454,0.78128118336757,0.993462513476961,0.65634613681385,0.734543845042567,0.545722726482628,0.836398630385858
30,0.995,0.881965126721841,0.961798948632111,0.876953711832768,0.900617080466736,0.914384273543136,0.473760460901753,0.895124734505841,0.996719330618967,0.496983638824342,0.882625150439266,0.777385361038487,0.82600099672392
31,0.999,0.639306349221129,0.991782264882738,0.436770575037109,0.814960770154905,0.974034861477668,0.657376567694433,0.342817544129747,0.958498861548295,0.510740130054697,0.991468006917802,0.94476583624036,0.981912833817142
32,1.001,0.937571552485185,0.964025145905036,0.994355759871699,0.768396708695005,0.9505060160231,0.684585029274485,0.730945246865941,0.857801074808271,0.733619415896753,0.954907836365214,0.645683513952912,0.963808065306951
33,1.001,0.553367597870354,0.998437826355373,0.967900989982721,0.795048243640723,0.963580735738829,0.698404438531111,0.529560590903386,0.934015236551336,0.669776856340737,0.958264169946535,0.558656118495717,0.874018745791547
34,1.01,0.979934757650038,0.983700395042906,0.976130843450977,0.798460257383683,0.912714290927015,0.526869512774598,0.788899468645136,0.950042331973333,0.664955116369986,0.964491412591815,0.808586018475946,0.829201124558452
35,1.001,0.89901413096915,0.90433380065677,0.938427728343571,0.94489589343944,0.977025493547315,0.5796517730105,0.91534859594935,0.969147714678396,0.658923732435684,0.761256070193854,0.72552263163176,0.828436758502846
36,1.001,0.876771177937206,0.973069637680647,0.775788751794442,0.814350647632887,0.983176353953537,0.339537207020563,0.795750157930451,0.97295532790692,0.812806096898879,0.984252745500787,0.251362700022224,0.751824523735792
37,1.006,0.952177429603298,0.998591397918396,0.972338606323526,0.728048658732265,0.901615798623171,0.514323580551163,0.617443059420439,0.977695712937067,0.90282306187152,0.943709116827172,0.981290370574809,0.986870046399718
38,1.006,0.472944582815123,0.988006674957846,0.951872240367819,0.937551029585256,0.995677637528,0.400238173197394,0.517538030576785,0.9723288398188,0.619392586059194,0.857897329704281,0.804865735890634,0.932084770847266
39,1,0.779374976592522,0.971995650061522,0.959180763484085,0.821733090868695,0.872141444729259,0.827875070644186,0.775403091749561,0.951798925274348,0.818331527632423,0.900186938207616,0.629520046436565,0.911762029038636
40,0.999,0.701450813779132,0.984161486369795,0.510237463319019,0.909903121094069,0.998436649028118,0.603800685569742,0.709164189593952,0.920856088017313,0.835924093221491,0.921420638104852,0.789735212000825,0.920836647102254
41,1.003,0.894092581114227,0.983331197691846,0.927745117909086,0.767760310896314,0.932794246842726,0.557268076119953,0.660777051766354,0.992057552123129,0.98489517783071,0.993525725286911,0.668704347763002,0.7006021135029
42,1.003,0.527932486515974,0.945292434749681,0.895220128698815,0.906680253104846,0.994651816277159,0.613671054729639,0.738168691228213,0.991825902152025,0.793746708390915,0.867003470969024,0.481420496350171,0.819811219221885
43,1.005,0.726025743740983,0.990401178035202,0.562842568545853,0.796931713712798,0.987373656279858,0.698986691379181,0.813856996553935,0.908394667653494,0.781003562605073,0.938535469991328,0.447399975422155,0.874657567943943
44,0.998,0.864739815108036,0.96290402940646,0.959575253698207,0.658476722897307,0.990247836419148,0.50965810032091,0.828337429955692,0.953830637085168,0.875712520192439,0.898041229778769,0.694607413217539,0.700540353016568
45,0.995,0.938255493966143,0.963872951252738,0.974780661362461,0.940280739503482,0.982546620158934,0.526210102754752,0.652861306752801,0.908285779597882,0.704807251490162,0.745346317671287,0.770738314343095,0.792250753877375
46,0.996,0.892189655307239,0.977083508674694,0.932924450978998,0.735281797136673,0.852749473148281,0.840354523425552,0.779627401089392,0.931938386037639,0.666119899580623,0.694580535107464,0.842256481654524,0.994583900662431
47,0.994,0.913660269023266,0.96559633532335,0.857399953167666,0.943522729610727,0.971975281839008,0.30579768422186,0.917729058098553,0.955070467407028,0.794382000861067,0.878101157835981,0.809649401470212,0.968669287385245
48,1.007,0.647882619312384,0.957395142932565,0.96080986988299,0.824356136382018,0.935264660516249,0.546047857884303,0.866223898626656,0.998253068479054,0.439919960543719,0.961847688335199,0.686880807748572,0.830426002879112
49,1.005,0.857251885818434,0.995305497278288,0.679576757573872,0.726204423216713,0.996998416772981,0.478874459482068,0.586770017466799,0.989707474904144,0.795169891727304,0.80418267236171,0.570504587141683,0.99388826101867
50,1.01,0.610970721818856,0.91824097582074,0.903969342566414,0.966732210576974,0.996306864871165,0.817857747183455,0.640424038388009,0.998950154500397,0.716297953295691,0.791239885125179,0.661636345689122,0.800082985510393
51,1.002,0.88767220693687,0.953155836523128,0.526504833559457,0.924429403259796,0.970345739141026,0.400940156730383,0.815230474700232,0.987679953527772,0.882400974778001,0.958777335116469,0.693347805466819,0.82801816321619
52,0.997,0.627859659992268,0.99662726922561,0.942764884834992,0.693634215606674,0.906446275829426,0.559477650754104,0.678957211386468,0.997596513132404,0.662733347100528,0.88812579750017,0.918868748813664,0.952771691367153
53,0.992,0.8662646969535,0.964875407782545,0.910507695436783,0.830383771939244,0.976313981659641,0.398022547596316,0.695047799821214,0.951703665440889,0.920633406264716,0.941169419817855,0.755353527794822,0.929453519586741
54,0.998,0.689147470720232,0.958297438419263,0.873526628329615,0.776372979426089,0.993215870420218,0.477581562551527,0.47851958176837,0.99293474183366,0.910117659895998,0.979810611124963,0.566205103203242,0.797434286128952
55,0.99,0.903023417221348,0.983461950658948,0.81937666636906,0.927078547975992,0.960680546547077,0.323450370242403,0.817423589521949,0.952294864635102,0.638538144035311,0.97660546958487,0.551785336551157,0.827536889388088
56,1.001,0.884899932779379,0.952307207745535,0.911157913379108,0.909713171050107,0.963126221098751,0.509682936746411,0.894548745862826,0.953177738628107,0.599248259275667,0.667985964499285,0.790584549152689,0.986741072965693
57,1.008,0.836267178044259,0.897737620631102,0.851428405156401,0.929369430073266,0.965897849724924,0.556279026710283,0.97411777944706,0.983079927064336,0.934011513679446,0.97712721717027,0.614003971401339,0.781408366813688
