,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.758065975947771,0.698407856853679,0.762877767243423,0.763248717274051,0.733244825214148,0.826200917993206,0.762169306086376,0.836834415063262,0.882841376707889,0.84969615310803,0.847607817763463,0.836882503581233
Sample No. 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.801927598427515,0.771323111223988,0.822430103646126,0.700229311712552,0.813470343722962,0.722346873675939,0.705890417333227,0.855975746346638,0.857955501310527,0.904971831147559,0.912665161663666,0.866896365673281
Sample No. 232,1,1,1,1,1,1,0.718048958458472,0.785286202830263,0.760938032624777,0.776254231903236,0.762186225586571,0.816032125778962,0.71230373230204,0.913254288776778,0.872962005234323,0.881112983810715,0.844930993691087,0.88017670151405,0.946788298171014,0.964280813485384,0.92713405996561,0.948614975176752,0.94784531597048,0.971630851253867,0.994832952953875,0.962421732824296,1,1,1,1,1
Sample No. 233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.834158577980939,0.735190981802531,0.730847848208156,0.796679938038811,0.737217024389189,0.722304413957987,0.712136998611037,0.906968525803648,0.836240045078099,0.892705268046819,0.881676099905744,0.865393975763582,0.979176701661199,0.983843749277294,0.987303734943271,0.955734391529113,0.993034730385989
Sample No. 234,1,1,1,1,1,1,1,0.765170639510267,0.689029427467845,0.759638734256383,0.785001923319884,0.808446231381036,0.733328147792723,0.74746432136884,0.911124022992328,0.857887400222011,0.87251661962457,0.860672116084956,0.845190637145191,0.93860244307667,0.931651840750128,0.963804451767355,0.927921440824866,0.994152692910284,0.95916849957779,0.968162830527872,0.974687729775906,1,1,1,1
Sample No. 235,1,1,0.697493338935543,0.722274583917111,0.728234243324492,0.761506013678387,0.699993614830542,0.790289077350404,0.812521560864057,0.873478569074534,0.842612337139435,0.839680990640074,0.908356460764073,0.844744073101319,0.964255959000438,0.950562739018351,0.993462273012847,0.976521534677595,0.920218310263008,0.954795437976718,0.998342715986073,0.944966667257249,1,1,1,1,1,1,1,1,1
Sample No. 236,1,1,1,1,1,1,1,1,1,1,0.759153349140193,0.751985674655531,0.692079724337906,0.82334273109585,0.786038246042095,0.803296759295277,0.695663931955583,0.903999620907009,0.892399289546534,0.911479809686542,0.880449498725124,0.910822566503659,0.988742638770491,0.969733865484595,0.937016807403415,0.975815247204155,0.935756871961057,0.95501329632476,0.965516861658543,0.963008891213685,1
Sample No. 237,1,1,1,0.831431270520203,0.779541894911323,0.834267302266322,0.692753698328976,0.803907925415784,0.720408349264413,0.722102057422977,0.843229565625079,0.874149779969826,0.880147109936923,0.916912799359299,0.869780876408331,0.995597491245717,0.991240826137364,0.987719226032496,0.970081836152822,0.965218307264149,0.946881323102862,0.970250845048577,0.936675833072513,1,1,1,1,1,1,1,1
Sample No. 238,1,1,1,1,1,1,1,1,1,0.816656035954598,0.742922628276516,0.699350340677425,0.723971327546984,0.829443167605437,0.769872435474768,0.729693617603276,0.901039490253665,0.8874050733326,0.8395306338761,0.881781432581134,0.86834520293586,0.998300641868264,0.990478119440377,0.98078669693321,0.964602685980499,0.935059543699026,0.92601958507672,0.991569051537663,0.966942239422351,1,1
Sample No. 239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 240,1,0.718801289728377,0.813414868655615,0.729008414166979,0.819164307835977,0.771009342920966,0.705616124406457,0.834990800906904,0.85821963073127,0.863356983213685,0.841215271280147,0.856949981031939,0.888413937442936,0.993843182418495,0.960180272907019,0.967357803229243,0.926352743413299,0.969103651810437,0.955038634613156,0.941762011535466,0.969731249157339,1,1,1,1,1,1,1,1,1,1
Sample No. 241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.778257405200507,0.803817568604369,0.803008979362436,0.766639604467433,0.753492121178657,0.810932337424252,0.798204595119692,0.842837574557401,0.840052407066338,0.874089788453653,0.868601021397859,0.900839674519375,0.931035700533539,0.963748737704009
Sample No. 242,1,1,1,1,1,1,1,1,1,1,0.773507956579793,0.758480780270416,0.822508219630923,0.80060979267722,0.786530174386222,0.810398877832573,0.76352376338467,0.885692026912235,0.914277769976296,0.855574737971649,0.891244545583613,0.895269298759289,0.999383312370628,0.987566310036927,0.991991414297372,0.940224895421416,0.981858155727386,0.970571229122579,0.959196805953979,0.931597839128226,1
Sample No. 243,1,1,1,1,0.729008965312038,0.732214278810658,0.717748896103818,0.826665456478018,0.785941075651441,0.819974326192401,0.814814744099509,0.841342662054114,0.8445485845441,0.85183114049118,0.860564954327419,0.846892558595166,0.964931101761758,0.989888832513243,0.956679801139981,0.947798851765692,0.94115449404344,0.949599990956485,0.954584283474833,0.928017792161554,1,1,1,1,1,1,1
Sample No. 244,1,1,1,1,0.834715182591695,0.742017439661082,0.734627499700524,0.760606536212377,0.741359919765033,0.709105698660947,0.695564109076746,0.864722689942457,0.914010604250245,0.847491495418362,0.915400227633305,0.836406786582433,0.99744333602488,0.976509478595108,0.948037172630429,0.965006142240018,0.934069164972752,0.989522083569318,0.95289422698319,0.980896745398641,1,1,1,1,1,1,1
Sample No. 245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 246,1,0.700311315992382,0.701632418799214,0.738206392947119,0.706162909722421,0.82071898669377,0.69471585411951,0.832479012013879,0.844244124098681,0.863433710610494,0.900749734868296,0.861102861253545,0.85891013527289,0.961778362859041,0.991253732331097,0.946392769608647,0.977026527691633,0.95878874193877,0.931316978018731,0.930290902610868,0.946658203806728,1,1,1,1,1,1,1,1,1,1
Sample No. 247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.757360062330496,0.816094925372396,0.719701828308404,0.796556492162868,0.79305985755194,0.742805095868185,0.731282978366595,0.838464473917149,0.854724071571603,0.89486096926406
Sample No. 248,1,1,0.709600978474133,0.811135998078622,0.754811148835812,0.754006885040086,0.69647282210784,0.795703264920972,0.76279971405305,0.910440462555736,0.89314454498142,0.891318376982585,0.905935282575898,0.863480209531262,0.945012615695596,0.954859930463135,0.936143679469824,0.935838647447527,0.952729341927916,0.957480829302222,0.967229391839355,0.929875220283866,1,1,1,1,1,1,1,1,1
Sample No. 249,1,1,1,1,0.760771808832884,0.70952521099383,0.754908712966368,0.744844047912862,0.761543018348981,0.786780360156205,0.829292506283615,0.887266405643895,0.851072155694477,0.87291704502143,0.914064488166943,0.869036817498505,0.983203940205276,0.997934480216354,0.996520719565451,0.99909309560433,0.96895875569433,0.990444962605834,0.984703664779663,0.999505700971931,1,1,1,1,1,1,1
Sample No. 250,1,1,1,0.711833083305042,0.80239553863788,0.71396573957894,0.745294392203447,0.830682860793546,0.82793493447965,0.790379391274415,0.912051427800208,0.876980973944068,0.860551927461289,0.837674321108498,0.851123906229623,0.953566335532814,0.997387692369521,0.924781222492456,0.999721732195467,0.932255057562143,0.952760871425271,0.984807516429573,0.939995085597038,1,1,1,1,1,1,1,1
Sample No. 251,1,1,1,1,1,1,1,0.785175915424712,0.776696756297257,0.806318105630577,0.797370134260505,0.708102193569299,0.766330196849536,0.711099916453473,0.885657907475717,0.91049595730938,0.846128603600897,0.866325422987342,0.904160389956087,0.957552464008331,0.973519525397569,0.934910320863128,0.964409456159919,0.957454922851175,0.964317898564041,0.991654999777675,0.967464808989316,1,1,1,1
Sample No. 252,1,1,1,1,0.793634547236375,0.706177718310151,0.794919624798,0.782309569024015,0.8169685399523,0.710690731603187,0.813597193385009,0.913537448381074,0.84079254080914,0.842879280513152,0.912907206582837,0.893192712199874,0.972186509855092,0.970576527062804,0.994296497032046,0.949590116683394,0.947302644848824,0.943451161272824,0.992356327287853,0.952695382218808,1,1,1,1,1,1,1
Sample No. 253,1,1,1,0.699872114289552,0.777160661668982,0.716441273842007,0.707298150147777,0.832022328594699,0.763211012504995,0.75892272875784,0.872164421644993,0.915692127841525,0.893688299525529,0.836397161458619,0.842066232063807,0.945716201383621,0.949503053668886,0.975530505347997,0.992023447770625,0.992244959585369,0.920828306786716,0.945243574492633,0.998705980218947,1,1,1,1,1,1,1,1
Sample No. 254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.729722595483996,0.797347084341105,0.696009380814154,0.786893935817294,0.693837510749232,0.701867450123187,0.782052061731461,0.851572984953411
Sample No. 255,1,1,1,1,1,1,1,0.822075215053279,0.78423675097432,0.768029265305027,0.768870383874979,0.737302514423151,0.78512993038306,0.768065361342393,0.912714283008128,0.861097667569295,0.903823672091588,0.866803309021518,0.874093088319525,0.981802543830127,0.942467213924974,0.952948136311024,0.969014136679471,0.958974592238665,0.937158730644733,0.920797370430082,0.939607768803835,1,1,1,1
Sample No. 256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.811987914775033,0.808811712115072,0.754480906565674,0.808819439286832
Sample No. 257,1,1,1,1,1,0.744479105855804,0.785771468748804,0.802727079788689,0.832894141554367,0.80975075747259,0.789665342216846,0.829213671480771,0.903612833067775,0.860677689502947,0.887474675930105,0.878226752891205,0.876564412073232,0.967462447397411,0.971029030531645,0.991490096375346,0.992131103537977,0.981237611733377,0.929264110159129,0.97647143503651,0.971050409656018,1,1,1,1,1,1
Sample No. 258,1,1,1,1,0.820535157238133,0.78227303838497,0.700525325922296,0.737737597922329,0.756839208282996,0.800461526239757,0.717248128414154,0.888989992120303,0.911270285414532,0.904481886044145,0.849652469313703,0.861824914147146,0.96407822098583,0.921092793326825,0.952111537437886,0.99645104335621,0.987315748278052,0.988063636012375,0.96977672053501,0.991968979872763,1,1,1,1,1,1,1
Sample No. 259,1,1,1,1,1,1,1,1,1,1,1,1,0.740057715460658,0.695930107952096,0.692527588318568,0.726762636216823,0.741272371484898,0.742495867797639,0.711392268330324,0.884996637875214,0.863596211520024,0.866902457763441,0.866496046240442,0.885971925551072,0.989607459660619,0.943412084151059,0.974043129961938,0.97214678639546,0.960259972568601,0.951967080719769,0.947084701620042
Sample No. 260,1,0.793949368061963,0.823474150501657,0.774046030409168,0.768262978854124,0.689773955919314,0.711037533720024,0.736305834540632,0.881590728911571,0.851565356404521,0.866630998695269,0.90089043650683,0.848040971608832,0.945405718479306,0.966094123572111,0.977803826723248,0.960289271827787,0.987809572480619,0.933217585925013,0.931559258494526,0.941461867168546,1,1,1,1,1,1,1,1,1,1
Sample No. 261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.790967007006053,0.78001026472915,0.707205896337051,0.694502233074978,0.764898876660969,0.718011465227697,0.721773226595484,0.886085998634808,0.852425123310648
Sample No. 262,1,1,1,0.782940837218426,0.808894163080491,0.705072378822602,0.726191131725442,0.75385673215054,0.698699264613912,0.728086711386219,0.917457221605815,0.840863344547339,0.9063620019136,0.907482484274544,0.888441507293843,0.969779011104256,0.95850988343358,0.93189611447975,0.952088140435517,0.974094453398138,0.948093022312969,0.998061149250716,0.99513587160036,1,1,1,1,1,1,1,1
Sample No. 263,1,1,1,0.777326020623092,0.824966679433361,0.73647531623859,0.803362222832162,0.796017935885116,0.78949900261499,0.721382573120296,0.884188266902231,0.903686101867817,0.883237166110426,0.877913066613488,0.851935833686031,0.938421067930758,0.975858041569591,0.968279180414975,0.930559204425663,0.998188553266227,0.956957831550389,0.933266052417457,0.977266028840095,1,1,1,1,1,1,1,1
Sample No. 264,1,0.759594829638023,0.757278563374653,0.792003244686872,0.801261125960387,0.759543803719804,0.791414138513152,0.802741804033518,0.858430411218665,0.841623433556408,0.841875975406729,0.843553755229339,0.906696582504548,0.978575843181461,0.996330070961267,0.984453858360648,0.987577947191894,0.926791369952262,0.990230291094631,0.945344246998429,0.938572087939829,1,1,1,1,1,1,1,1,1,1
Sample No. 265,1,0.701617609582841,0.767311366648879,0.81110045618983,0.811725158350542,0.822469533899799,0.721020014212932,0.781784409367479,0.87521459638793,0.902507587757893,0.86209436508175,0.893818218748085,0.880990301218815,0.947257548756897,0.994434581305832,0.972183642201126,0.980917160697281,0.924416644349694,0.923089239876717,0.94936452511698,0.950937121231109,1,1,1,1,1,1,1,1,1,1
Sample No. 266,1,0.768729407213628,0.802086546308361,0.728636646481697,0.687525860512629,0.722608209367842,0.704956588208675,0.823207474105526,0.837625189906917,0.844550343257375,0.84329266391322,0.869376976416446,0.911150051964447,0.957339953798801,0.960846982523799,0.944375284630805,0.926074952967465,0.989622208215296,0.979151460621506,0.923461991287768,0.970960643533617,1,1,1,1,1,1,1,1,1,1
Sample No. 267,1,1,1,0.800085802680347,0.793116053742357,0.763932791423518,0.818297636300791,0.707739523427095,0.735983328662347,0.746355707176495,0.867515576417558,0.885495694339275,0.891207169640809,0.861999337260611,0.838369179953821,0.952424597926438,0.973523167893291,0.949911709073931,0.945241469684988,0.944979287218302,0.969995539542288,0.994970160480589,0.969578991644084,1,1,1,1,1,1,1,1
Sample No. 268,1,1,1,1,1,1,1,1,1,1,0.723207654339727,0.805689314358402,0.803760182847269,0.708270164778456,0.745346856316552,0.739675183386076,0.704113001412712,0.867696576360613,0.910691294880584,0.861974522337317,0.901912916191854,0.870504034355283,0.935603758953512,0.97672952465713,0.982901365850121,0.993060780223459,0.966396344788373,0.960904412642121,0.953008902408183,0.978869019281119,1
Sample No. 269,1,1,0.760252757802606,0.696543797304854,0.822713020817842,0.742020263419487,0.71958445802005,0.803525426205248,0.826518567152321,0.868159322252497,0.90264744412899,0.850139025817625,0.85035148801934,0.899748277951963,0.952983351927251,0.927343648392707,0.937321819718927,0.9680627341941,0.969961958285421,0.925409066658467,0.975404345523566,0.930049991775304,1,1,1,1,1,1,1,1,1
Sample No. 270,1,1,1,1,1,1,1,1,1,1,0.798977040058467,0.688236909163184,0.739568156121764,0.699552722951863,0.78483654617006,0.783613025270402,0.810990822328255,0.885728560834192,0.85178085213434,0.849574468412437,0.843403033282608,0.913154462944716,0.949715692605823,0.947548018172383,0.941525728330016,0.96651330921799,0.940774025171995,0.98824580412358,0.943421210441738,0.975642350018024,1
Sample No. 271,1,1,0.799861324696336,0.694139190496877,0.717082442076877,0.751853821870405,0.749467876322102,0.834097468563356,0.818100562145934,0.911826349093579,0.910833577686921,0.896635011081584,0.848474453633651,0.852228919466957,0.951963424943387,0.96267290994525,0.999547390975058,0.942608283665031,0.930790085718036,0.966718921177089,0.982715724669397,0.970318647827953,1,1,1,1,1,1,1,1,1
Sample No. 272,1,1,0.830193282630295,0.697624079826288,0.711964716973249,0.791628139257897,0.757747632103506,0.825919148758054,0.765781537619419,0.853313623109832,0.911211339769885,0.891361936839297,0.880814527875744,0.911200407678261,0.954151683356613,0.927084827292711,0.941419637575746,0.999371761139482,0.96409936286509,0.992062321342528,0.927284396961331,0.93875576460734,1,1,1,1,1,1,1,1,1
Sample No. 273,1,1,1,1,1,1,1,1,1,1,1,1,0.780718828459736,0.711616068567615,0.777834309359547,0.689960624849424,0.750498972019646,0.800582106552552,0.698576540978625,0.84846912877541,0.883647147572599,0.844656056781299,0.854543758243322,0.887188225769438,0.997638266999274,0.940365518629551,0.938747193925083,0.925144304540008,0.960739947799593,0.937018719539046,0.990904269982129
Sample No. 274,1,1,1,1,1,1,1,1,1,1,0.796452493210323,0.783431074827909,0.74965115850931,0.734774332064204,0.788994118537754,0.750963883743621,0.719964431658387,0.898006061287597,0.918396475315094,0.882130095453933,0.850098850394599,0.869292416268028,0.950908839181066,0.985821177829057,0.967297294903547,0.97579428171739,0.988116404637694,0.944676937498152,0.978296316713095,0.928014612328261,1
Sample No. 275,1,1,1,1,0.716607229238376,0.811926897174213,0.739337412176188,0.694163476118352,0.726121512056794,0.774888644869439,0.777471726738382,0.846431000309996,0.911547029306181,0.837310861078091,0.865426303766668,0.838791059876792,0.970416448768228,0.924139097109437,0.96974800772965,0.965504723116756,0.962846807725728,0.972848675679415,0.954901548400521,0.96964793227613,1,1,1,1,1,1,1
Sample No. 276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.70087258792622,0.720710760542657,0.761773281732108,0.77658613270754,0.815352118249517
Sample No. 277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.734540075263008,0.724693202892318,0.807077176230028,0.780747674500104,0.754026640452445,0.813686113398522,0.83189099161094,0.87225582169462,0.882828717586584,0.886659842247143,0.876441011261195,0.914799556856975,0.989221894294024,0.954583252482116,0.943402155134827
Sample No. 278,1,1,1,1,1,1,1,1,1,1,1,1,1,0.746869417747017,0.825414995268453,0.711443191395607,0.800862939564046,0.79436291925516,0.780976719294209,0.811774645875208,0.906692527063191,0.859081881631166,0.850995471109636,0.848971329132095,0.89457694943063,0.920474835392088,0.988273679930717,0.969686504751444,0.930649970807135,0.948917603045702,0.996714209653437
Sample No. 279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714518935514148,0.689052824153565,0.726684774832334,0.700670112542808,0.823558359536342,0.817220386945642,0.737364435767755,0.872278940587304,0.883110706658103
Sample No. 280,1,1,1,1,1,1,1,1,0.824738867896609,0.718903799216729,0.702697985632345,0.692544600299094,0.696057305009104,0.764251340764109,0.796833659558557,0.850739330980927,0.857517493577674,0.893759521702305,0.856065364780836,0.918078011738136,0.993157576750964,0.985948500875384,0.970154327377677,0.945769000947476,0.931418444886804,0.925575956441462,0.969782537911087,0.930367704052478,1,1,1
Sample No. 281,1,0.69715539065795,0.805260963203851,0.7549012244693,0.815564740974456,0.829493058683816,0.72135572005203,0.774005448132753,0.856855814183131,0.885319156873971,0.914747634232976,0.866750445649028,0.919606863687746,0.942749600913376,0.974036511424929,0.979228600971401,0.930471892543137,0.962181926891208,0.957644348610193,0.965837000720203,0.954821214880794,1,1,1,1,1,1,1,1,1,1
Sample No. 282,1,1,1,1,1,1,1,1,1,0.729953608733136,0.743741250935942,0.777716519033071,0.705256752333604,0.715572679812554,0.720877639799379,0.73555018623732,0.878957621842623,0.855835152745247,0.913719081115909,0.918424453884363,0.880967321655713,0.993623800240457,0.979051542021334,0.936370618026704,0.980797581225634,0.920862703453749,0.930820978339762,0.98248421119526,0.948765274472535,1,1
Sample No. 283,1,1,1,1,0.705050541589968,0.729947620596737,0.763314597601071,0.718182268681936,0.789482457296923,0.698699326430447,0.718248340779916,0.867088550453074,0.903709777140059,0.899143184185028,0.847553393641487,0.850676448454149,0.99946802534163,0.997701379917562,0.93370037868619,0.981099849864841,0.923246444649994,0.959625527374446,0.954449708666652,0.996508545354009,1,1,1,1,1,1,1
Sample No. 284,1,1,1,1,1,1,1,0.71763936897181,0.816979780713096,0.698769154598937,0.730187225645874,0.739279111359734,0.71090859280806,0.821588462674059,0.887432566164993,0.886927274956368,0.885991935833357,0.870970257697627,0.860560896949843,0.992391829621047,0.970176804997027,0.998383008781821,0.948112886920571,0.927627995274961,0.984596679229289,0.977571214921772,0.950110243428498,1,1,1,1
Sample No. 285,1,1,1,0.694324876090046,0.800065541315358,0.748695484084543,0.761078421714716,0.736436316849664,0.791314752680715,0.762320856658276,0.873860597842373,0.852199963654391,0.900300722640939,0.871518243077211,0.849768861128017,0.996580040175468,0.965256725512445,0.974613165315241,0.920655553173274,0.998063387870789,0.977746205609292,0.925795430131257,0.990566505938768,1,1,1,1,1,1,1,1
Sample No. 286,1,1,1,1,1,1,1,0.701593172877561,0.728302825592924,0.793431806635577,0.740600015061442,0.710014927668031,0.741781097861473,0.755450708723161,0.872628347124904,0.859536544119008,0.844038402014412,0.900893572830595,0.893913418306038,0.932693446371704,0.92144086914137,0.969431615341455,0.922193487100303,0.935798685029149,0.995430211368948,0.941544218268246,0.990030169691891,1,1,1,1
Sample No. 287,1,1,1,1,1,1,0.816698950740043,0.741039170524106,0.707430198266171,0.815513224435505,0.82347615981847,0.704266655527987,0.765871895164251,0.915815005365759,0.896847226014361,0.853476146549918,0.85350838347245,0.843208763135597,0.992511451784521,0.975862672813237,0.999160719942301,0.965574412457645,0.999929177612066,0.990257533993572,0.978672682717443,0.955764988232404,1,1,1,1,1
Sample No. 288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 289,1,1,1,1,1,1,1,1,1,1,1,1,1,0.724058457954321,0.727182131995447,0.747789199605118,0.762976239308715,0.826537493594456,0.709106924863532,0.82198792643752,0.863029150661081,0.886304398283362,0.90638806522917,0.862576923507266,0.874682487168349,0.962222647033632,0.93674518706277,0.967990718390793,0.979245706424117,0.949972192719579,0.949840639047325
Sample No. 290,1,1,1,1,1,1,1,1,1,0.79289909394132,0.705651741592679,0.706259624591563,0.719480697672348,0.701675140137319,0.796408370383084,0.821280217207037,0.89958462694753,0.910742108050734,0.856721990329213,0.86726081616804,0.887998129758984,0.965079548601061,0.928374026119709,0.998050928637385,0.962080383449793,0.952278412599117,0.933958719484508,0.994490584507585,0.989445423278958,1,1
Sample No. 291,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.746453249863349,0.798457913486287,0.814925782768056,0.700360615902115,0.778203223984689,0.806856465038378,0.756564511348493,0.843179854652844,0.879792047701776,0.896544620369561,0.872131731823087,0.869162202114239,0.946275820080191,0.954660861566663,0.947279173582792,0.989775832537562,0.986180709507316
Sample No. 292,1,1,1,1,1,1,0.81278312381031,0.755347073684912,0.773031928286888,0.771029102943372,0.78973590698,0.835865433538798,0.713371232770383,0.902487826680765,0.844879530264065,0.896747015500441,0.866719692535698,0.895788920692168,0.996984560173005,0.985945010781288,0.996730188652873,0.946833839919418,0.99845938090235,0.944721934869885,0.981576411966234,0.9657420524396,1,1,1,1,1
Sample No. 293,1,1,1,1,0.739653017932083,0.697929327750113,0.811628429336939,0.768821357634384,0.770841161081567,0.808736224590335,0.727531735553872,0.897177643244155,0.903504311810248,0.894933686417527,0.865928039704449,0.861073753633536,0.93147478768602,0.925981967542321,0.960058955848217,0.957718081139028,0.939040307905525,0.988730144836009,0.982591668833047,0.940573282465339,1,1,1,1,1,1,1
Sample No. 294,1,1,0.823164800963365,0.821658949241042,0.743113444013521,0.831455463940743,0.826593057579827,0.817109382328577,0.760671417311765,0.860197572239675,0.907507383882999,0.917696910302155,0.841481868266128,0.860055210283026,0.963582275602967,0.925197187270969,0.937171283941716,0.990109262559563,0.944381466414779,0.923841260205954,0.979019359759986,0.981854439787567,1,1,1,1,1,1,1,1,1
Sample No. 295,1,1,1,1,1,1,0.770530156606343,0.813278141689021,0.834555915046018,0.713323563944083,0.720279684326611,0.717645795376971,0.79235901351925,0.857016143534333,0.912505806133151,0.870944944598712,0.84361336622946,0.905805530415848,0.990939312502742,0.964978392273188,0.920207119192928,0.964382401891053,0.95058820001781,0.943559265229851,0.992035571504384,0.928818612769246,1,1,1,1,1
Sample No. 296,1,1,1,1,1,1,1,1,1,0.796705617710482,0.755013612798881,0.776147787251044,0.761584359082859,0.788943969052285,0.709997754196171,0.689099806501996,0.850816422543488,0.8565553530287,0.850906393663026,0.868434581454843,0.850374456454068,0.925463425293565,0.942993018198758,0.935670609418303,0.920045472513884,0.934254152290523,0.964680782947689,0.922081728000194,0.938931040037423,1,1
Sample No. 297,1,1,0.693247033261228,0.701477906726301,0.716150984053034,0.79828165976936,0.773586799799465,0.831434343186207,0.816411754886154,0.899224384327419,0.892535421120003,0.850531629473902,0.907608482143842,0.915433334368281,0.968089970648289,0.935732821673155,0.976572131477296,0.945821577515453,0.920371680241078,0.997004619259387,0.948323858622462,0.950400755889714,1,1,1,1,1,1,1,1,1
Sample No. 298,1,1,0.72529690849036,0.803048731900286,0.826873788192403,0.736231291691307,0.770431811037939,0.784366320529021,0.75347896054294,0.86304682551045,0.918869230797514,0.879923778560944,0.841617458108812,0.858025884028524,0.982171424478292,0.983972717784345,0.927248313482851,0.988202587645501,0.928118917308748,0.960670443754643,0.959680162332952,0.954341050069779,1,1,1,1,1,1,1,1,1
Sample No. 299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.821563134308904,0.724053648278583,0.727113606723957,0.811766382541042,0.806714496658184,0.723373766896781,0.807688942529727,0.83624986001011,0.841442169035785,0.880500265817158,0.898231494615786,0.84767939102184,0.930099830050021,0.977852830886841
Sample No. 300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74091546561243,0.743596689474303,0.708493735037278,0.827704090125859,0.77388752554683,0.805305711355992,0.783748962417245,0.908800644920208,0.907656330414116,0.910150976148434,0.884291321507655,0.859622451563366,0.996298618763685,0.953285390455276,0.921656164042652,0.953210476133972,0.933306069467217
Sample No. 301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.822284875124693,0.800490288041998,0.704288491643034,0.814753496520221,0.811693017488811,0.726887078316882,0.777233961971011,0.857629654341377,0.884904784417711,0.880512288117781,0.856240235571749,0.888150405062363,0.924263374265283,0.966833856608719
Sample No. 302,1,1,1,1,1,1,1,1,1,1,1,0.738325312385801,0.765322243796196,0.688530569594819,0.767211920920759,0.834205143853556,0.812430104905739,0.777160499653779,0.880751460332423,0.901731565284543,0.849398910361342,0.907321509184316,0.917920329727232,0.994441321212798,0.965969396512955,0.986184410825372,0.963260475154966,0.965116542931646,0.945174616985023,0.990200999286026,0.929260167721659
Sample No. 303,1,0.765434946691617,0.817020922516473,0.712358070818242,0.75020097744558,0.833982937190682,0.744961198665202,0.794753102540504,0.861354706612416,0.863626730741933,0.85243468888104,0.884810729537159,0.862113483197056,0.96503635475412,0.981888794843107,0.976709803063422,0.988910891003907,0.998057392574847,0.925969898570329,0.935711607839912,0.975465407278389,1,1,1,1,1,1,1,1,1,1
Sample No. 304,1,1,1,1,1,1,1,0.790594790958799,0.835833944474813,0.756039178675506,0.716020766018424,0.744450197684579,0.70560487467004,0.828655975092202,0.860525721080601,0.900685988650657,0.87103215136379,0.873164067531005,0.893276558157057,0.952000815160573,0.976876575537026,0.924205590225756,0.999754380993545,0.937811523675919,0.92263615084812,0.95175460152328,0.971163485851139,1,1,1,1
Sample No. 305,1,0.825385673031211,0.755850444095209,0.782844181441702,0.802521237918641,0.819055742527358,0.696142293176614,0.747927710485179,0.906312409930862,0.919121251100674,0.911472353519872,0.839198365111835,0.902704098111019,0.950000703148544,0.984074303936213,0.965703512057662,0.981217628736049,0.988712715152651,0.977338330093771,0.97031587112695,0.974446821808815,1,1,1,1,1,1,1,1,1,1
Sample No. 306,1,1,1,1,1,1,1,1,0.77189141840348,0.79875300408015,0.734659041605424,0.83170615576813,0.745214247833006,0.689134184039664,0.717550954806153,0.856728640950285,0.839118394351564,0.896428912001662,0.868791756809689,0.905108320100233,0.960954959131777,0.990643261242658,0.933545256331563,0.93240221561864,0.943184166140854,0.985860872063786,0.967090708836913,0.933504209611565,1,1,1
Sample No. 307,1,1,1,0.720333017398603,0.704510693591088,0.728988428776152,0.696278356680647,0.701904320648406,0.804840961018577,0.811921731791459,0.91233092996385,0.888722831185907,0.913335005353205,0.901644241583534,0.875498335078359,0.927461237236857,0.934949907232076,0.956072539184243,0.972984096314758,0.986295693349093,0.960285674855113,0.94972644623369,0.928397545460612,1,1,1,1,1,1,1,1
