,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 577,1,1,1,1,1,1,1,1,1,1,0.800415084698703,0.790831670806743,0.753777715669945,0.795376092453022,0.820528916107956,0.686860655424185,0.752618206875864,0.887930440478958,0.855243593133986,0.837462764783762,0.845580005691387,0.839545883013867,0.976058460418135,0.933006558660418,0.937031521406025,0.988471503891051,0.993131004031748,0.924425718523562,0.924374301116914,0.920171273425222,1
Sample No. 578,1,1,1,1,0.772668157251552,0.759037588596344,0.719690358372405,0.794167885255534,0.712360687334091,0.830328611635137,0.695439186344389,0.893504113640636,0.918343647694215,0.894564769142307,0.900218816091306,0.908181044526398,0.966752724535763,0.992724823728204,0.944331275485456,0.967894972525537,0.948218233752996,0.969909675456583,0.986304244752973,0.972997999489307,1,1,1,1,1,1,1
Sample No. 579,1,1,1,1,0.731125993457623,0.796536624188535,0.728855897929985,0.734397152358666,0.809343618749641,0.80331650744332,0.718779172330629,0.892097504839301,0.888619307487272,0.890883296696469,0.919694218290039,0.911705227055587,0.939195669796318,0.94475128095597,0.998868068996817,0.930432449243963,0.934937819484621,0.981217707451433,0.995232743509114,0.982406251654029,1,1,1,1,1,1,1
Sample No. 580,1,0.76403678852506,0.688936323662289,0.712388978457544,0.782233188547194,0.697335270456038,0.717920246686786,0.756531907770783,0.897070349882357,0.894619885100983,0.866432020151056,0.900311277189292,0.910470301167108,0.979460130259395,0.945978462807834,0.93896118182689,0.930268747545779,0.95976050440222,0.943228226900101,0.95137200223282,0.953966450728476,1,1,1,1,1,1,1,1,1,1
Sample No. 581,1,1,1,1,1,1,1,1,1,1,1,0.764094412467908,0.818711478730198,0.74786427687062,0.745038406016771,0.721640700813383,0.728743062949739,0.702283066268079,0.872166333495639,0.864804148853756,0.859503280452453,0.879351121949032,0.901328090889379,0.970156097523868,0.968323984593153,0.944716191105545,0.923814576044679,0.944692940115929,0.962761139702052,0.950538250803947,0.99203746734187
Sample No. 582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.795624792740215,0.8128404411152,0.729972456594929,0.686799308519345,0.832154434268829
Sample No. 583,1,1,1,1,1,1,1,0.741053772428073,0.808149554861244,0.808466812341008,0.746577874514274,0.704441715696827,0.800234394824598,0.765374630795792,0.863173722841777,0.917518785625696,0.876199470795691,0.860555725639686,0.913119961701334,0.960918660033494,0.952698113508523,0.93179153656587,0.928342059683055,0.99451721759513,0.932369042541832,0.980364389959723,0.986475655864924,1,1,1,1
Sample No. 584,1,1,1,1,0.710840350216255,0.763140884194523,0.800130172005389,0.749749581715092,0.807946247015148,0.804735426955391,0.832267242706381,0.839628640815616,0.91457944967784,0.846638960331678,0.853118660656735,0.874417970308103,0.961934567186981,0.933742585536093,0.923162074964494,0.983611194398254,0.931707305572927,0.951758787296712,0.941584220957011,0.94891673097387,1,1,1,1,1,1,1
Sample No. 585,1,1,1,1,1,1,1,1,0.704388057826087,0.831089325332083,0.698960495601874,0.770620499098673,0.725985821093433,0.831291197882034,0.835339293164667,0.850262621698901,0.84389389895089,0.846994578555226,0.879994588596746,0.855038592966273,0.963977771699429,0.936245988775045,0.995431235935539,0.968155459295958,0.925192464645952,0.980305470153689,0.976799394711852,0.985478560533375,1,1,1
Sample No. 586,1,0.829940193159506,0.835797463184223,0.690191585083026,0.771831694200169,0.781993298373651,0.721716726561077,0.714959966008551,0.879097322475165,0.839257677562535,0.874020708302967,0.862244185923599,0.898299494277686,0.992201336175203,0.952261623293161,0.985624212827533,0.973407010734081,0.935971150454134,0.989129528794438,0.966755575612187,0.946281140968204,1,1,1,1,1,1,1,1,1,1
Sample No. 587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.698194177240599,0.691451347655617,0.828656448460184,0.76217606605636,0.750058474509511,0.701980091167148,0.766876091693062,0.898897313999943,0.899152206264436,0.837505841935053,0.918034899030812,0.874858704746701,0.999800352975726
Sample No. 588,1,1,0.726431859635282,0.707526951692067,0.784804989107884,0.774037021958735,0.748890810018871,0.772247241089586,0.798600905331783,0.885719288708642,0.862846450052224,0.896059936815873,0.89397780738771,0.850702375099994,0.947724247388542,0.932336331550032,0.995354122184217,0.996062292866409,0.923099015820771,0.951156066488475,0.974513173699379,0.946405196096748,1,1,1,1,1,1,1,1,1
Sample No. 589,1,1,1,1,1,1,1,1,0.792979762529954,0.698941719440278,0.778295271565672,0.767963359902147,0.742196224398445,0.75712411496928,0.819023629395757,0.900817786886357,0.919562251466326,0.909104259589687,0.90193764850311,0.878916733108461,0.979390081074089,0.922257466502488,0.950177942607552,0.933931976314634,0.942345728240907,0.921138154882938,0.942367539498955,0.99110476128757,1,1,1
Sample No. 590,1,0.783412419575267,0.73418943971768,0.805190645043273,0.756125569624361,0.720332201560028,0.730751815311611,0.76097527935775,0.836791180178523,0.871662388976663,0.876948260007426,0.904111379406415,0.85273597420007,0.966710521690547,0.98443438122049,0.949596116878092,0.929235132709146,0.930899838525802,0.929720157571137,0.998183951936662,0.952609774693847,1,1,1,1,1,1,1,1,1,1
Sample No. 591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.778991440242622,0.787744361338206,0.803821351077873,0.72148052435508,0.83201952037774,0.775583927055355,0.703893910652492,0.913470754533075,0.89659877551347,0.874840703086928
Sample No. 592,1,1,1,1,1,1,0.787572055846918,0.785895802373067,0.797462352622766,0.807334680099972,0.733645480465144,0.771111884679645,0.733656445251778,0.852699126141146,0.860700378926471,0.877725288161077,0.868286507278681,0.853511672835797,0.989375926665962,0.988808208964765,0.967723594717681,0.977367543857545,0.947781830467284,0.993518284521997,0.920869365110993,0.998405851405114,1,1,1,1,1
Sample No. 593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.831150579616893,0.72865033978736,0.825337562513538,0.697332783580292,0.777201314597856,0.720072358964477,0.819015372627415,0.855080939126201,0.905605947849341,0.915857896522619,0.906575863298029,0.85682298540324,0.969833646882325,0.981042636949569,0.977568527646363,0.946452847030014
Sample No. 594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.829847555317916,0.78541294901073,0.696222334903665,0.741894049035851,0.708586520225741,0.749276159949601,0.688928754140157
Sample No. 595,1,1,1,1,1,0.738559745172039,0.790427092056721,0.728817068204749,0.793077998365276,0.811291260122322,0.814982616052963,0.723116925616283,0.882273658023216,0.861753013882786,0.867705200752243,0.840675738262013,0.843343338555656,0.998781488202512,0.964833646994084,0.998196473177522,0.995161873809993,0.981795923933387,0.934024845715612,0.94685819465667,0.931839371845126,1,1,1,1,1,1
Sample No. 596,1,1,1,1,1,1,0.746349477746058,0.824053436367773,0.834074527364224,0.704139168631751,0.712775919378269,0.694746437798254,0.700404001331423,0.846943837846629,0.851457046586089,0.880061409120448,0.881933661552146,0.915912964916788,0.987006267588586,0.999516747929156,0.927300368715078,0.958690570890903,0.979479621872306,0.993602344039828,0.946574703231454,0.990890252720565,1,1,1,1,1
Sample No. 597,1,1,1,1,1,1,1,1,1,0.800243088744115,0.745519899939187,0.802565616987646,0.807223282720894,0.7383632428376,0.696067202150822,0.794854778064415,0.866617265617475,0.873740562845021,0.870600541311316,0.838141253928654,0.876725919956341,0.975449229646474,0.975622903257608,0.927432153597474,0.990229117907584,0.922485294286162,0.942038791738451,0.967654849682003,0.981865311320871,1,1
Sample No. 598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765370763734914,0.719133710594848,0.759622489778791,0.695639724390581,0.694999702869915,0.794585728751495,0.721670377674978,0.853224044534378,0.854122070710175,0.903992948518135,0.851262400186621,0.891673765852116,0.985367760770023
Sample No. 599,1,0.78002742437087,0.701118897869252,0.72502415210614,0.707110145002604,0.69437276057573,0.829105322984047,0.741236855545081,0.842103490347043,0.880880333135836,0.848276859310456,0.903201880562119,0.873420594043098,0.989496768414974,0.93699167303741,0.921514652911574,0.996282363906503,0.972357666492462,0.932954489886761,0.946550582759082,0.949490871075541,1,1,1,1,1,1,1,1,1,1
Sample No. 600,1,1,1,1,1,1,1,1,1,0.796449264117051,0.745415157197509,0.743114456407726,0.735840187095106,0.723275422411039,0.813546377433464,0.803513507453259,0.891269049694762,0.890968213774264,0.876164966266602,0.838884260395542,0.859429963227361,0.972859819922596,0.955821014549583,0.979802556354552,0.967773961387575,0.972766747903079,0.922372776027769,0.937194748222828,0.963584439828992,1,1
Sample No. 601,1,0.788330331667326,0.742845320132561,0.736899014808238,0.792471574236639,0.829433282128535,0.753544216942042,0.716014102335554,0.839756179544143,0.876581324775703,0.887053390915506,0.912012380097993,0.900050358685665,0.986545464582741,0.942885925285518,0.95304819514975,0.971924332305789,0.973904047515243,0.929173981621861,0.925641576405615,0.935733707696199,1,1,1,1,1,1,1,1,1,1
Sample No. 602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.691685023136903,0.805099262042437,0.755952309713699,0.713732621144969,0.690677001701202,0.742381436937954,0.730743085664231,0.872818550076336,0.899355380498804,0.851150804173201,0.853029326749034
Sample No. 603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707276611974463,0.729330943060573,0.69407675254764,0.750535061630886,0.694706893271301,0.777276289743837,0.744856299950276,0.838366703176871,0.89445528218057
Sample No. 604,1,0.691440730333794,0.745931995894294,0.708536249062978,0.714679089690559,0.795897670557257,0.727673314734362,0.827442681406625,0.840066556157544,0.89874770494923,0.90562425161805,0.859549770865589,0.877199365065433,0.948278147280216,0.972539658546448,0.967689058948308,0.981603200137615,0.99944389373064,0.980848189927638,0.928419491257519,0.961931695956737,1,1,1,1,1,1,1,1,1,1
Sample No. 605,1,1,1,1,1,1,1,1,1,1,0.800001212758012,0.74059658682812,0.741371905257925,0.708260273084976,0.742432495510671,0.699002268911805,0.739290061617736,0.888246434652247,0.860159989942797,0.846727093313821,0.911082952664234,0.880615164688788,0.927640176322311,0.970512087903917,0.960004809685051,0.923626556564123,0.949400283638388,0.956333184614778,0.951054667234421,0.983195655010641,1
Sample No. 606,1,1,1,1,1,1,1,1,1,1,1,0.747118641449139,0.750726724918,0.733819028608501,0.739879285242874,0.805976391468663,0.745155574790202,0.765099472402595,0.876460190220736,0.85867928870488,0.855377309185453,0.845050073701888,0.856341461857781,0.922224477380514,0.971650242470205,0.923188618775457,0.941078399177641,0.992376401796937,0.973472097553313,0.945950400624424,0.975940178595483
Sample No. 607,1,1,1,1,1,1,0.711049279211089,0.800089382067323,0.687525699195918,0.753580250604078,0.747784955603071,0.818044383033644,0.758717038216069,0.879761892489158,0.875935310591012,0.845870745184831,0.892409463989548,0.897518053205684,0.924677882250398,0.976745888013393,0.967148483730853,0.971729496531188,0.991215162370354,0.97416311910376,0.944627634268254,0.978817088082433,1,1,1,1,1
